,VENUE,H_TEAM,LAT,LNG,LOCATION,CAPACITY
18,Fritz-Walter-Stadion,Kaiserslautern,49.4341714,7.7768069,"Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, Germany",49850
19,Grundig Stadion,Nuernberg,49.4262526,11.1257076,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",50000
20,HDI Arena,Hannover,52.360017,9.731225,"Mitte, Hannover, Region Hannover, Niedersachsen, Germany",49200
21,HDI-Arena,Hannover,52.360017,9.731225,"Mitte, Hannover, Region Hannover, Niedersachsen, Germany",49200
22,Imtech Arena,Hamburg,53.5871279,9.8986004,"Altona, Hamburg, Hamburg, Hamburg, Germany",57000
23,Jonathan-Heimes-Stadion am Böllenfalltor,Darmstadt,49.8576828,8.6723311,"Darmstadt-Ost, Darmstadt, Kreisfreie Stadt Darmstadt, Darmstadt, Hessen, Germany",17000
24,MAGE SOLAR Stadion,Freiburg,47.988917,7.892876999999999,"Ost, Freiburg im Breisgau, Kreisfreie Stadt Freiburg im Breisgau, Freiburg, Baden-Württemberg, Germany",24000
25,MEWA ARENA,Mainz,49.98403384050516,8.224435248092398,"Eugen-Salomon-Straße 1, 55128 Mainz, Deutschland",34000
26,Max-Morlock-Stadion,Nuernberg,49.4262526,11.1257076,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",50000
27,Mercedes-Benz Arena,Stuttgart,52.5063143,13.4436316,"Bezirk Friedrichshain-Kreuzberg, Berlin, Kreisfreie Stadt Berlin, Berlin, Germany",17000
28,Merck-Stadion am Böllenfalltor,Darmstadt,49.8576828,8.6723311,"Darmstadt-Ost, Darmstadt, Kreisfreie Stadt Darmstadt, Darmstadt, Hessen, Germany",17000
29,Merkur Spielarena,Fortuna Duesseldorf,51.2615824,6.7331902,"Stadtbezirk 5, Düsseldorf, Düsseldorf, Düsseldorf, Nordrhein-Westfalen, Germany",54600
30,Millerntor-Stadion,St. Pauli,53.55453379999999,9.9677413,"Hamburg-Mitte, Hamburg, Hamburg, Hamburg, Germany",29546
31,OPEL ARENA,Mainz,49.98403384050516,8.224435248092398,"Eugen-Salomon-Straße 1, 55128 Mainz, Deutschland",34000
32,Olympiastadion,Hertha Berlin,52.5146971,13.2394986,"Bezirk Charlottenburg-Wilmersdorf, Berlin, Kreisfreie Stadt Berlin, Berlin, Germany",74475
33,PreZero Arena,Hoffenheim,49.23803849999999,8.8879801,"Sinsheim, Rhein-Neckar-Kreis, Karlsruhe, Baden-Württemberg, Germany",30150
34,Red Bull Arena,RBL,51.346197888861646,12.34831181573538,"Am Sportforum 3, 04105 Leipzig, Deutschland",25000
35,Rhein-Neckar-Arena,Hoffenheim,49.23803849999999,8.8879801,"Sinsheim, Rhein-Neckar-Kreis, Karlsruhe, Baden-Württemberg, Germany",30150
36,RheinEnergieSTADION,FC Koln,50.93346090000001,6.8751545,"Lindenthal, Köln, Kreisfreie Stadt Köln, Köln, Nordrhein-Westfalen, Germany",50000
37,RheinEnergieStadion,FC Koln,50.93346090000001,6.8751545,"Lindenthal, Köln, Kreisfreie Stadt Köln, Köln, Nordrhein-Westfalen, Germany",50000
38,SGL Arena,Augsburg,48.3231778,10.8864185,"Universitätsviertel, Augsburg, Kreisfreie Stadt Augsburg, Schwaben, Bayern, Germany",30660
39,SIGNAL IDUNA PARK,Borussia Dortmund,51.4925888,7.451857400000001,"Innenstadt-West, Dortmund, Dortmund, Arnsberg, Nordrhein-Westfalen, Germany",81365
40,Schwarzwald-Stadion,Freiburg,47.988917,7.892876999999999,"Ost, Freiburg im Breisgau, Kreisfreie Stadt Freiburg im Breisgau, Freiburg, Baden-Württemberg, Germany",24000
41,SchücoArena,Arminia Bielefeld,52.0314415,8.5161568,"Bielefeld, Kreisfreie Stadt Bielefeld, Detmold, Nordrhein-Westfalen, Germany",26515
42,Signal Iduna Park,Borussia Dortmund,51.4925888,7.451857400000001,"Innenstadt-West, Dortmund, Dortmund, Arnsberg, Nordrhein-Westfalen, Germany",81365
43,Sportpark Ronhof | Thomas Sommer,Greuther Fuerth,49.4869857,10.9992017,"Fürth, Kreisfreie Stadt Fürth, Mittelfranken, Bayern, Germany",15606
44,Stadion Nürnberg,Nuernberg,49.4262526,11.1257076,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",50000
45,Stadion am Bruchweg,Mainz,50.0009593,8.2456943,"Mainz, Mainz, Rheinland-Pfalz, Germany",18700
46,Stadion an der Schwarzwaldstraße,Freiburg,47.988917,7.892876999999999,"Ost, Freiburg im Breisgau, Kreisfreie Stadt Freiburg im Breisgau, Freiburg, Baden-Württemberg, Germany",24000
47,Trolli ARENA,Greuther Fuerth,49.487104143834486,10.999169518311108,"Laubenweg 60, 90765 Fürth, Deutschland",15606
48,VELTINS-Arena,Schalke,51.5546309,7.0675262,"Gelsenkirchen-Ost, Gelsenkirchen, Kreisfreie Stadt Gelsenkirchen, Münster, Nordrhein-Westfalen, Germany",62271
49,Veltins-Arena,Schalke,51.5546309,7.0675262,"Gelsenkirchen-Ost, Gelsenkirchen, Kreisfreie Stadt Gelsenkirchen, Münster, Nordrhein-Westfalen, Germany",62271
50,Volksparkstadion,Hamburg,53.5871279,9.8986004,"Altona, Hamburg, Hamburg, Hamburg, Germany",57000
51,Volkswagen Arena,Wolfsburg,52.43264296672332,10.803842480695618,"In den Allerwiesen 1, 38446 Wolfsburg, Germany",30000
52,Vonovia Ruhrstadion,Bochum,51.489917,7.236513,"Bochum Mitte, Bochum, Bochum, Arnsberg, Nordrhein-Westfalen, Germany",27599
53,WIRSOL Rhein-Neckar-Arena,Hoffenheim,49.23803849999999,8.8879801,"Sinsheim, Rhein-Neckar-Kreis, Karlsruhe, Baden-Württemberg, Germany",30150
54,WWK ARENA,Augsburg,48.32319916101646,10.8863755851331,"Bürgermeister-Ulrich-Straße 90, 86199 Augsburg, Deutschland",30660
55,Waldstadion,Eintracht Frankfurt,50.0685807,8.645472,"Frankfurt am Main Süd, Frankfurt am Main, Kreisfreie Stadt Frankfurt am Main, Darmstadt, Hessen, Germany",51500
56,Weser-Stadion,Werder Bremen,53.06643279999999,8.837605199999999,"Östliche Vorstadt, Bremen, Bremen, Bremen, Germany",42100
57,Weserstadion,Werder Bremen,53.06643279999999,8.837605199999999,"Östliche Vorstadt, Bremen, Bremen, Bremen, Germany",42100
58,badenova-Stadion,Freiburg,47.988917,7.892876999999999,"Ost, Freiburg im Breisgau, Kreisfreie Stadt Freiburg im Breisgau, Freiburg, Baden-Württemberg, Germany",24000
59,easyCredit-Stadion,Nuernberg,49.4262526,11.1257076,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",50000
60,rewirpowerSTADION,Bochum,51.489917,7.236513,"Bochum Mitte, Bochum, Bochum, Arnsberg, Nordrhein-Westfalen, Germany",27599
61,wohninvest WESERSTADION,Werder Bremen,53.06643279999999,8.837605199999999,"Östliche Vorstadt, Bremen, Bremen, Bremen, Germany",42100
